periodo;Numero de llamadas gestionadas;Existosas y colgadas Llamada Saludable;Linea 018000521021;telepsicologia exitosas
5/01/2018;1520;1093;427;0
6/01/2018;1189;798;391;0
7/01/2018;1302;849;453;0
8/01/2018;1205;756;449;0
9/01/2018;1248;894;354;0
10/01/2018;1217;775;442;0
11/01/2018;1088;655;433;0
12/01/2018;1313;861;452;0
1/01/2019;1220;802;418;0
2/01/2019;1041;642;399;0
3/01/2019;1253;762;491;0
4/01/2019;1253;585;668;0
1/05/2019;4562;3738;726;98
1/06/2019;2553;1968;510;75
1/07/2019;2079;1407;588;84
1/08/2019;1872;1258;517;97
1/09/2019;2481;1867;491;123
1/10/2019;2991;2183;664;144
1/11/2019;4180;3482;577;121
1/12/2019;4521;4031;412;78
1/01/2020;4943;4334;538;71
1/02/2020;4556;3423;950;183
